"cohort_start_date","renewal_date","cohort_size","cohort_size_at_renewal","plan","amount","currency","cohort_age_months","retention_rate"
"2019-03-01 00:00:00+01","2019-11-01 00:00:00+01","35","23","SMALL","8.95","EUR","8","0.66"
"2019-03-01 00:00:00+01","2019-12-01 00:00:00+01","35","22","SMALL","8.95","EUR","9","0.63"
"2019-03-01 00:00:00+01","2020-01-01 00:00:00+01","35","22","SMALL","8.95","EUR","10","0.63"
"2019-03-01 00:00:00+01","2020-02-01 00:00:00+01","35","21","SMALL","8.95","EUR","11","0.60"
"2019-03-01 00:00:00+01","2020-03-01 00:00:00+01","35","20","SMALL","8.95","EUR","12","0.57"
"2019-03-01 00:00:00+01","2020-04-01 00:00:00+02","35","18","SMALL","8.95","EUR","13","0.51"
"2019-03-01 00:00:00+01","2020-05-01 00:00:00+02","35","17","SMALL","8.95","EUR","14","0.49"
"2019-03-01 00:00:00+01","2020-06-01 00:00:00+02","35","16","SMALL","8.95","EUR","15","0.46"
"2019-03-01 00:00:00+01","2020-07-01 00:00:00+02","35","14","SMALL","8.95","EUR","16","0.40"
"2019-03-01 00:00:00+01","2020-08-01 00:00:00+02","35","12","SMALL","8.95","EUR","17","0.34"
"2019-03-01 00:00:00+01","2020-09-01 00:00:00+02","35","10","SMALL","8.95","EUR","18","0.29"
"2019-03-01 00:00:00+01","2020-10-01 00:00:00+02","35","9","SMALL","8.95","EUR","19","0.26"
"2019-03-01 00:00:00+01","2019-03-01 00:00:00+01","22","22","SMALL","9.95","USD","0","1.00"
"2019-03-01 00:00:00+01","2019-04-01 00:00:00+02","22","16","SMALL","9.95","USD","1","0.73"
